Title,Authors
The Study of Regional Innovation Network Structure: Evidence from the Yangtze River Delta Urban Agglomeration.,"Liang Jiang,Ye Tian,Jing Luo,Jie Chen"
Detecting the Spatial Association between Commercial Sites and Residences in Beijing on the Basis of the Colocation Quotient.,"Chen Wang,Lei Zhou"
Quantitative Relations between Morphostructural Similarity Degree and Map Scale Change in Contour Clusters in Multi-Scale Map Space.,"Rong Wang,Xiaomin Lu,Haowen Yan"
A Lighting Consistency Technique for Outdoor Augmented Reality Systems Based on Multi-Source Geo-Information.,"Weichao Sun,Shuo Liu,Yixin Yuan,Yuang Wu,Kunpeng Zhu"
Isolated or Colocated? Exploring the Spatio-Temporal Evolution Pattern and Influencing Factors of the Attractiveness of Residential Areas to Restaurants in the Central Urban Area.,"Guolin Hou,Rui Du,Ruien Tang"
Analysis of Tourist Market Structure and Its Driving Factors in Small Cities before and after COVID-19.,"Yi Liu,Kuo Liu,Yongji Wang,Zhihui Tian,Lili Wu"
"Measuring the Spatial Accessibility of Parks in Wuhan, China, Using a Comprehensive Multimodal 2SFCA Method.","Kainan Mao,Haowen Yan,Jingzhong Li"
Interaction of Crime Risk across Crime Types in Hotspot Areas.,"Hong Zhang,Dizhao Yao,Jie Zhang,Yongping Gao"
PMGCN: Progressive Multi-Graph Convolutional Network for Traffic Forecasting.,"Zhenyu Xu,Zhihao Zhang,Zhenxin Li,Yong Han,Ge Chen,Zhixian Sun"
Inconsistency Detection in Cross-Layer Tile Maps with Super-Pixel Segmentation.,"Haijiang Xu,Junbo Yu,Lingrui Yan,Yilang Shen,Tinghua Ai"
A Deep Transfer Learning Toponym Extraction and Geospatial Clustering Framework for Investigating Scenic Spots as Cognitive Regions.,"Xingyu Xue,Chengkun Zhang,Yuanyuan Wang,Junwei Yao,Tao He,Hongjiu Liu,Yiran Zhang,Jing Yang,Xinyu Zheng,Liuchang Xu,Jiajun Zhang,Liang Xu"
Assessment of Forest Ecological Security in China Based on DPSIRM Model: Taking 11 Provincial Administrative Regions along the Yangtze River Basin as Examples.,"Xingmeng Ma,Han Zhang,Yelin Zhu,Yanlong Guo,Denghang Chen"
Spatial Accessibility of Public Electric Vehicle Charging Services in China.,"Yuehong Chen,Yu Chen,Yuqi Lu"
Assessing Regional Development Balance Based on Zipf's Law: The Case of Chinese Urban Agglomerations.,"Zhong Du,Leichao Bai,Mingliang Luo,Qinglin Wu,Liang Kong,Zhongsheng Chen,Jie Deng"
Generating Gridded Gross Domestic Product Data for China Using Geographically Weighted Ensemble Learning.,"Xiaoxiang Zhang,Yuehong Chen,Yu Wang,Qiang Ma,Zekun Xu,Guihou Sun"
Detecting Turning Relationships and Time Restrictions of OSM Road Intersections from Crowdsourced Trajectories.,"Longgang Xiang,Xin Chen,Huayi Wu,Fengwei Jiao"
Hybrid Prediction Model Based on Decomposed and Synthesized COVID-19 Cumulative Confirmed Data.,"Gonghao Duan,Ting Xu,Zongyou Xia"
The Spatiotemporal Pattern Evolution and Driving Force of Tourism Information Flow in the Chengdu-Chongqing City Cluster.,"Peng Xu,Zegen Wang,Zhiwei Yong,Xuemei Du,Yang Zhao,Qian Wang"
Location Scheme of Routine Nucleic Acid Testing Sites Based on Location-Allocation Models: A Case Study of Shenzhen City.,"Hui Qiu,Yang Chen,Qian Sun,Siwaner Wang,Pengfei Chen"
A Novel Lane Line Detection Algorithm for Driverless Geographic Information Perception Using Mixed-Attention Mechanism ResNet and Row Anchor Classification.,"Yongchao Song,Jindong Zhao,Weiqing Yan,Xuan Wang,Xin Fu,Yahong Jiang,Tao Huang,Jindong Xu"
Automatic Clustering of Indoor Area Features in Shopping Malls.,"Yi Shen,Jingsong Ma,Jie Shen,Jing Zheng,Ziren Gao"
Influence of the Built Environment on Pedestrians' Route Choice in Leisure Walking.,"Yifu Ge,Kai Shang,Zhongyu He"
Research on Time-Aware Group Query Method with Exclusion Keywords.,"Jing Li,Liping Zhang,Song Li"
An Improved BLG Tree for Trajectory Compression with Constraints of Road Networks.,"Mingwei Zhao,Yong Sun,Yi Long,Ling Zhang,Minshi Liu"
Progressive Geological Modeling and Uncertainty Analysis Using Machine Learning.,"Jinming Fu,Hong Li,Guoxi Ma,Run Wang,Deping Chu,Bo Wan,Zhuocheng Xiao"
"A Tale of Two Cities: COVID-19 Vaccine Hesitancy as a Result of Racial, Socioeconomic, Digital, and Partisan Divides.","Mareyam Belcaid,Daniel Erickson,Madu Franklin Chinedu,Oluwabukola Olufunke Akanbi,Rui Li"
Spatial Morphological Characteristics and Evolution of Traditional Villages in the Mountainous Area of Southwest Zhejiang.,"Shuang Liu,Quan Zhu"
"A Weighted k-Nearest-Neighbors-Based Spatial Framework of Flood Inundation Risk for Coastal Tourism - A Case Study in Zhejiang, China.","Rui Liu,Shuang Liu,Nengzhi Tan"
"Coastal Flooding Hazard, Exposure, and Readiness of Buildings in Hong Kong in 2080-2100, and the Implications for Real Estate Management.","Minerva Singh,Xin Cai"
